,Соотношение матрица-наполнитель,"Плотность, кг/м3","модуль упругости, ГПа","Количество отвердителя, м.%","Содержание эпоксидных групп,%_2","Температура вспышки, С_2","Поверхностная плотность, г/м2","Прочность при растяжении, МПа","Потребление смолы, г/м2","Угол нашивки, град",Шаг нашивки,Плотность нашивки
564,0.001070654389204177,0.5438383949292204,0.30972633772550934,0.03882502941824343,0.005813284948278252,0.06535888678495475,0.27103267502020534,0.7250530964298099,0.049644601139743796,0.024867396047360376,0.0013347034744028775,0.0158059967486306
565,0.001048869124952403,0.6399911597774338,0.3308569016214922,0.03463309524778864,0.008255853367735327,0.09599441573637287,0.3190874077751338,0.5954507373549004,0.11416319668567985,0.028616137529326326,0.0019790712124878617,0.015066443882910275
566,0.0005215933426942563,0.6118853654553524,0.27106522639957586,0.04867768275511764,0.007362600236844907,0.10125012448706427,0.16723716817988415,0.7077017284181334,0.09671653382910932,0.028963357351916984,0.002403393301390515,0.02087129651905234
567,0.0012359019139291142,0.616686478246137,0.3568275734243995,0.03415272053690383,0.006662015417591028,0.07617715220793748,0.1871947722875407,0.6642794429180888,0.08768027747032328,0.02832228468599389,0.0022730126670223276,0.0235028326344149
568,0.0005820583871910221,0.6949640528246861,0.24468658318870082,0.047015524292796616,0.008369805898097995,0.10177242961609727,0.334373504173468,0.5638180885399073,0.11561653993415372,0.032436598229629486,0.002686572767480125,0.01979772081245074
569,0.00105791464729776,0.5751428803596732,0.43445646535824145,0.03105658227673535,0.0069101442090328145,0.09494472428948793,0.19036325529131148,0.6561580175051095,0.05087099437483356,0.026739323898102914,0.0017635872470586047,0.01851736962859408
570,0.0004026885014253919,0.5274142951708547,0.1837134109800588,0.029701960010181324,0.006023346852121304,0.0671333730691403,0.04052234313098192,0.8218327188287096,0.06915590754788711,0.02355609586595042,0.002254332632240459,0.016260859603275675
571,0.0008197178581452841,0.5622066769991533,0.3412786082862427,0.04551791043449114,0.006314309835946259,0.09117633229183773,0.11581306402317672,0.735216596980233,0.04689364337014462,0.025575400314277585,0.0011167710843749917,0.014715479473742715
572,0.0007154201746179005,0.5455903160900041,0.2054932589996923,0.03910473839639127,0.005898876222999684,0.07741332095781632,0.13510824300494054,0.7953779298756477,0.02844842708295723,0.024916735565491555,0.0019181033591033942,0.015241115596375872
573,0.0007903840157768307,0.6605423425921954,0.23754964358153624,0.042174809293153544,0.007784087175963159,0.07391676512548896,0.07600718976047623,0.6987968042747909,0.06776109754799628,0.03034778385916651,0.0014697437671530049,0.01848188352835521
