,Соотношение матрица-наполнитель,"Плотность, кг/м3","модуль упругости, ГПа","Количество отвердителя, м.%","Содержание эпоксидных групп,%_2","Температура вспышки, С_2","Поверхностная плотность, г/м2","Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Потребление смолы, г/м2","Угол нашивки, град",Шаг нашивки,Плотность нашивки
0,0.2817148996903818,0.647180935946384,0.4456958716203284,0.0,0.4987233612188684,0.0,0.15717680679146667,0.2992983094584649,0.7171872113004079,0.5046412967604132,0.0,0.2888987227205281,0.493858232871278
1,0.2817148996903818,0.647180935946384,0.4456958716203284,0.09042597013376258,0.60920243627484,0.4934230237503199,0.15717680679146667,0.2992983094584649,0.7171872113004079,0.5046412967604132,0.0,0.2888987227205281,0.543377078122772
2,0.2817148996903818,0.647180935946384,0.4456958716203284,0.08975549280044914,1.0,0.4934230237503199,0.15717680679146667,0.2992983094584649,0.7171872113004079,0.5046412967604132,0.0,0.2888987227205281,0.7084398956277518
3,0.2817148996903818,0.647180935946384,0.4456958716203284,0.6201030634513969,0.4228521891924837,0.5647331683901642,0.15717680679146667,0.2992983094584649,0.7171872113004079,0.5046412967604132,0.0,0.36112340340066007,0.32879541536629814
4,0.46680722308094524,0.647180935946384,0.4543296230333089,0.5051832485214696,0.4987233612188684,0.4934230237503199,0.15717680679146667,0.2992983094584649,0.7171872113004079,0.5046412967604132,0.0,0.36112340340066007,0.493858232871278
5,0.4661162117402884,0.5700354487393096,0.4513030312095704,0.5051832485214696,0.4987233612188684,0.4934230237503199,0.15717680679146667,0.2992983094584649,0.7171872113004079,0.5046412967604132,0.0,0.36112340340066007,0.543377078122772
6,0.42596757815015185,0.3385989871180852,0.48701681472968494,0.5051832485214696,0.4987233612188684,0.4934230237503199,0.15717680679146667,0.2992983094584649,0.7171872113004079,0.5046412967604132,0.0,0.36112340340066007,0.7084398956277518
7,0.42431852167154593,0.31288382471572707,0.32237021951830935,0.5051832485214696,0.4987233612188684,0.4934230237503199,0.28478203309779415,0.6033166779471917,0.2420094452419082,0.18352825762457847,0.0,0.5055727647609242,0.32879541536629814
8,0.6258822767525322,0.39002931192280244,0.5366529206389967,0.6201030634513969,0.4228521891924837,0.5647331683901642,0.28478203309779415,0.6033166779471917,0.2420094452419082,0.18352825762457847,0.0,0.5055727647609242,0.493858232871278
9,0.6208855627108713,0.827187072762892,0.8586822906847755,0.6201030634513969,0.4228521891924837,0.5647331683901642,0.7576719894094784,0.7857276990404274,0.3212057395849915,0.761531728069081,0.0,0.5055727647609242,0.543377078122772
10,0.49684244978428715,0.9814780471770419,0.5632869286878958,0.6201030634513969,0.4228521891924837,0.5647331683901642,0.7576719894094784,0.7857276990404274,0.3212057395849915,0.761531728069081,0.0,0.5055727647609242,0.7084398956277518
11,0.48827420746572947,0.5443202863369514,0.9839831921875504,0.6201030634513969,0.4228521891924837,0.5647331683901642,0.7576719894094784,0.7857276990404274,0.3212057395849915,0.761531728069081,0.0,0.6500221261211881,0.32879541536629814
12,0.22928232946423005,0.44145963672751876,0.49912318202463907,0.6201030634513969,0.4228521891924837,0.5647331683901642,0.35233774114232047,0.5019772217842804,0.5015972989220123,0.5046412967604132,0.0,0.6500221261211881,0.493858232871278
13,0.49684244978428715,0.5186051239345932,0.3423457255549836,0.6201030634513969,0.4228521891924837,0.5647331683901642,0.35233774114232047,0.5019772217842804,0.5015972989220123,0.5046412967604132,0.0,0.6500221261211881,0.543377078122772
14,0.7214683830813438,0.3385989871180852,0.482779586176451,0.6201030634513969,0.4228521891924837,0.5647331683901642,0.35233774114232047,0.5019772217842804,0.5015972989220123,0.5046412967604132,0.0,0.6500221261211881,0.7084398956277518
15,0.49990065750420287,0.647180935946384,0.18133104053209423,0.6201030634513969,0.4228521891924837,0.5647331683901642,0.15717680679146667,0.2992983094584649,0.7171872113004079,0.5046412967604132,0.0,0.7222468068013201,0.32879541536629814
16,0.6258822767525322,0.26145349991101074,0.187989542544319,0.6201030634513969,0.4228521891924837,0.5647331683901642,0.15717680679146667,0.2992983094584649,0.7171872113004079,0.5046412967604132,0.0,0.7222468068013201,0.493858232871278
17,0.7547583359397001,0.44145963672751876,0.3048159869406259,0.6201030634513969,0.4228521891924837,0.5647331683901642,0.28478203309779415,0.6033166779471917,0.2420094452419082,0.18352825762457847,0.0,0.7222468068013201,0.543377078122772
