,"Плотность, кг/м3","модуль упругости, ГПа","Количество отвердителя, м.%","Содержание эпоксидных групп,%_2","Температура вспышки, С_2","Поверхностная плотность, г/м2","Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Потребление смолы, г/м2","Угол нашивки, град",Шаг нашивки,Плотность нашивки
0,0.5464404396689755,0.19885501714269482,0.009828712492828654,0.005994117067797424,0.047958402064070274,0.05652832134506643,0.01884277378168881,0.8075474477866633,0.05922014617102198,0.0,0.001076729930382218,0.015343401507946604
1,0.5454365232946565,0.1984896821613637,0.013434397125484152,0.006381338634604972,0.07647272209890962,0.056424467927033435,0.018808155975677813,0.8060638275290491,0.059111347352130264,0.0,0.001074751770038732,0.01612127655058098
2,0.5454056834508056,0.19847845924074425,0.01340677024837202,0.007789570755029851,0.07646839821023026,0.0564212775983592,0.0188070925327864,0.8060182514051314,0.059108005103042975,0.0,0.0010746910018735085,0.0188070925327864
3,0.5450109532822409,0.19833481307413878,0.0346337009721227,0.005705163919826414,0.0805434906328435,0.056380443442990445,0.01879348114766348,0.8054349063284348,0.05906522646408523,0.0,0.0013423915105473915,0.01261848019914548
4,0.5448295730368322,0.2020968810328742,0.030021988196995097,0.005976446847087689,0.07638762486685392,0.05636167996932747,0.018787226656442488,0.8051668567046781,0.05904556949167639,0.0,0.0013419447611744636,0.015298170277388884
5,0.5392708012780267,0.201687279677982,0.030161415915480036,0.00600420258208659,0.07674238325879595,0.05662343413419281,0.018874478044730938,0.8089062019170401,0.059319788140582946,0.0,0.001348177003195067,0.016178124038340805
6,0.519919187812485,0.2196726620757463,0.03044929861188721,0.006061511099496705,0.07747486890480026,0.05716388975948788,0.019054629919829293,0.8166269965641125,0.05988597974803492,0.0,0.001361044994273521,0.019054629919829293
7,0.6985991753471763,0.1967108204267049,0.041129107239123754,0.008187529808815104,0.1046484594649614,0.13971983506943525,0.027576283237388536,0.6618307976973249,0.04412205317982166,0.0,0.002573786435489597,0.01728113749543015
8,0.6810806591178094,0.31372057303405826,0.04552300778559451,0.007498945080960336,0.10586745996649886,0.1340987826242319,0.026466864991624716,0.6352047597989932,0.04234698398659954,0.0,0.00247024073255164,0.020114817393634785
9,0.6150939032675364,0.416213541211033,0.037784339772148665,0.006224164497350071,0.08787055760964806,0.29583087728581514,0.022846344978508498,0.5858037173976537,0.08787055760964806,0.0,0.002050313010891788,0.01757411152192961
10,0.6583556406829429,0.2843730614616601,0.039318461874120206,0.006476878409496545,0.09143828342818652,0.30784222087489466,0.023773953691328495,0.6095885561879102,0.09143828342818652,0.0,0.0021335599466576856,0.021335599466576854
