,Соотношение матрица-наполнитель,"Плотность, кг/м3","модуль упругости, ГПа","Количество отвердителя, м.%","Содержание эпоксидных групп,%_2","Температура вспышки, С_2","Поверхностная плотность, г/м2","Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Потребление смолы, г/м2","Угол нашивки, град",Шаг нашивки,Плотность нашивки
0,0.0004999102623539474,0.5464403713884323,0.19885499229473771,0.00982871126468048,0.005994116318801669,0.04795839607142128,0.05652831428156196,0.018842771427187318,0.8075473468794565,0.05922013877116014,0.0,0.0010767297958392754,0.015343399590709675
1,0.0004989918311095566,0.5454364553897558,0.19848965745010658,0.01343439545294965,0.006381337840151083,0.07647271257832862,0.05642446090238853,0.01880815363412951,0.8060637271769789,0.059111339992978455,0.0,0.001074751636235972,0.01612127454353958
2,0.0004989636173290969,0.5454056155574226,0.19847843453367855,0.013406768579465708,0.007789569785365752,0.07646838869126409,0.056421270574905785,0.018807090191635262,0.8060181510700827,0.05910799774513939,0.0,0.0010746908680934436,0.018807090191635262
3,0.0004986024990830457,0.5450108855361621,0.19833478842067848,0.0346336966670763,0.0057051632106617945,0.0805434806211077,0.05638043643477538,0.018793478811591793,0.8054348062110769,0.059065219122145636,0.0,0.0013423913436851282,0.012618478630640204
4,0.0007437944332132891,0.5448294223287358,0.2020968251298217,0.0300219798924593,0.005976445193912141,0.07638760373688208,0.05636166437883473,0.018787221459611578,0.8051666339833533,0.05904555315877924,0.0,0.0013419443899722555,0.015298166045683714
5,0.0007463284949377325,0.53927065108941,0.2016872235074393,0.030161407515430696,0.006004200909897258,0.07674236188580048,0.05662341836438804,0.018874472788129346,0.8089059766341149,0.05931977161983509,0.0,0.0013481766277235248,0.0161781195326823
6,0.0006994735854372546,0.5199190606237815,0.21967260833685426,0.030449291163024184,0.006061509616659071,0.07747484995199305,0.05716387577538959,0.019054625258463194,0.8166267967912798,0.05988596509802718,0.0,0.0013610446613187997,0.019054625258463194
7,0.0009418125343973548,0.6985988655145834,0.19671073318436955,0.041129088998137525,0.008187526177600412,0.10464841305279163,0.1397197731029167,0.02757627100715461,0.6618305041717106,0.04412203361144737,0.0,0.0025737852940010968,0.01728112983115022
8,0.0012552403858515962,0.6810801225525743,0.3137203258804345,0.045522971921907816,0.00749893917318249,0.10586737656257632,0.13409867697926334,0.02646684414064408,0.635204259375458,0.04234695062503053,0.0,0.002470238786460114,0.0201148015468895
9,0.0010346279023386367,0.6150935740523081,0.41621331844206183,0.0377843195489275,0.006224161166005498,0.08787051057890116,0.29583071894896723,0.0228463327505143,0.585803403859341,0.08787051057890116,0.0,0.0020503119135076935,0.01757410211578023
10,0.000889900746021141,0.6583553799992932,0.2843729488608058,0.03931844630551334,0.006476875844900453,0.09143824722212404,0.30784209898115095,0.02377394427775225,0.6095883148141603,0.09143824722212404,0.0,0.002133559101849561,0.02133559101849561
11,0.0008363545353277096,0.5784282809246803,0.47320665394240186,0.037496104642856166,0.006176683904346461,0.08720024335547945,0.29357415263011416,0.02267206327242466,0.5813349557031964,0.08720024335547945,0.0,0.0026160073006643836,0.013661371459025115
12,0.0004840442694935794,0.590603157963525,0.25047631365940265,0.03907067044989473,0.006436060054730721,0.09086202430208076,0.14235050473992653,0.022210717051619734,0.7437224952133261,0.06663215115485922,0.0,0.002725860729062423,0.017263784617395344
13,0.0008943185675259318,0.6064884083010683,0.17398253329040747,0.039513638722645364,0.006509029634544294,0.09189218307591944,0.1439644201522738,0.0224625336407803,0.752154535547339,0.06738760092234093,0.0,0.0027567654922775833,0.018378436615183888
14,0.0012314739547629704,0.5837780027000465,0.24451434668064778,0.039427938402254455,0.0064949123337047065,0.09169288000524292,0.14365217867488056,0.022413815112392703,0.7505232030058756,0.06724144533717814,0.0,0.0027507864001572874,0.02139500533455668
15,0.0008011562945022259,0.5541627761527252,0.0824419499498143,0.035215270011675646,0.005800965021303159,0.08189597677133871,0.057327183739937095,0.0191090612466457,0.8189597677133871,0.060057049632315056,0.0,0.002729865892377957,0.012830369694176398
16,0.0009926581678324508,0.5246522775088814,0.08734902279802122,0.03600007648864133,0.005930245158012622,0.08372110811311938,0.05860477567918356,0.01953492522639452,0.8372110811311937,0.061395479282954205,0.0,0.0027907036037706457,0.01590701054149268
17,0.0015237915796814173,0.7085630845518598,0.18386303629909798,0.04687417328573842,0.007721520793193343,0.10900970531567074,0.13807896006651627,0.027252426328917684,0.6540582318940245,0.0436038821262683,0.0,0.0036336568438556914,0.02180194106313415
18,0.0018029341856179086,0.6957072288753119,0.19877349396437483,0.04748477911371176,0.007822105086561046,0.11042971886909712,0.13987764390085636,0.02760742971727428,0.6625783132145827,0.04417188754763885,0.0,0.0036809906289699042,0.025766934402789328
19,0.001088506239630135,0.610146074997185,0.36454687208165143,0.03447017169150763,0.006861942239551661,0.08770553525600543,0.3112361291652307,0.024036057499889105,0.6163091666638232,0.09244637499957348,0.0,0.0,0.008345007524534745
20,0.0009454281604477318,0.6571500656226875,0.06735788172632547,0.03675440317027691,0.007316661891352587,0.09351750933861303,0.33186078313945716,0.02562885255928481,0.6571500656226875,0.09857250984340313,0.029571752953020936,0.001314300131245375,0.015443026542133156
